piece,bpm,tempoA,tempoB
BKO_E3_D5_03_Wasulunka_T,114.2,45.12,90.25
BKO_E2_D4_05_Sandia_T,91.98,34.62,69.24
BKO_E2_D4_01_Suku_T,128.84,62.7,125.4
BKO_E2_D4_03_Wasulunka_T,108.26,27.12,54.25
BKO_E1_D2_04_Maraka_T,101.71,43.61,87.23
BKO_E3_D5_01_Maraka_T,113.68,49.76,99.52
BKO_E3_D6_02_Suku_T,136.13,49.3,98.59
BKO_E2_D4_06_Manjanin_T,129.54,51.42,102.85
BKO_E1_D1_01_Suku_T,124.51,30.92,61.84
BKO_E3_D5_13_Suku_T,120.05,57.47,114.94
BKO_E1_D1_02_Maraka_T,102.87,32.4,64.8
BKO_E2_D3_05_Sandia_T,94.28,35.39,70.78
BKO_E2_D3_14_Maraka_T,111.02,54.96,109.93
BKO_E3_D6_03_Wasulunka_T,110.77,45.99,91.99
BKO_E2_D4_04_Dansa_T,97.34,33.35,72.65
BKO_E3_D6_01_Maraka_T,115.33,54.93,109.87
BKO_E2_D4_02_Maraka_T,111.05,55.42,110.83
BKO_E2_D4_12_Suku_T,123.38,59.46,123.95
BKO_E2_D3_02_Suku_T,124.38,62.04,124.08
BKO_E1_D2_05_Wasulunka_T,129.41,49.28,98.56
BKO_E1_D1_04_Dansa_T,105.12,56.49,112.98
BKO_E1_D2_03_Suku_T,120.78,52.45,104.9
BKO_E2_D3_06_Manjanin_T,120.08,37.84,75.68
BKO_E1_D1_06_Manjanin_T,137.2,38.94,77.89
BKO_E3_D6_04_Sandia_T,106.26,48.96,97.93
BKO_E2_D3_01_Maraka_T,116.47,57.81,115.63
BKO_E3_D6_06_Manjanin_T,156.66,44.17,88.34
BKO_E3_D5_05_Sandia_T,102.12,43.19,86.39
BKO_E1_D1_03_Wasulunka_T,99.58,41.44,82.88
BKO_E1_D1_05_Sandia_T,98.42,60.8,121.6
BKO_E1_D2_07_Sandia_T,114.21,57.07,114.14
BKO_E2_D3_03_Wasulunka_T,107.01,40.19,80.38
BKO_E3_D5_06_Manjanin_T,114.75,50.11,100.22
BKO_E3_D6_10_Dansa_T,105.15,39.58,79.17
BKO_E3_D5_02_Suku_T,127.11,53.58,107.15
BKO_E3_D6_12_Suku_T,141.7,41.74,83.48
