piece,bpm,X_a,Y_a,Z_a,X_b,Y_b,Z_b,bpm_mode,bpm_median,mode_x,mode_y,mode_z,median_x,median_y,median_z
BKO_E3_D5_03_Wasulunka_T,158.87,130.2,125.2,145.6,130.2,125.2,145.6,103.0,121.0,115.0,115.0,115.0,121.0,121.0,121.0
BKO_E2_D4_05_Sandia_T,129.53,113.0,147.6,176.8,113.0,147.6,176.8,113.0,154.0,113.0,113.0,113.0,113.0,113.0,113.0
BKO_E2_D4_01_Suku_T,187.76,132.17,147.5,138.0,132.17,147.5,138.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0
BKO_E2_D4_03_Wasulunka_T,131.02,130.0,146.6,171.0,130.0,146.6,171.0,179.0,159.0,120.0,120.0,120.0,120.0,120.0,120.0
BKO_E1_D2_04_Maraka_T,141.98,100.6,117.8,141.2,100.6,117.8,141.2,113.0,113.0,96.0,96.0,96.0,99.0,99.0,99.0
BKO_E3_D5_01_Maraka_T,166.88,148.6,170.6,174.6,148.6,170.6,174.6,177.0,177.0,179.0,179.0,179.0,177.0,177.0,177.0
BKO_E3_D6_02_Suku_T,194.03,110.6,96.0,142.2,110.6,96.0,142.2,100.0,103.0,100.0,100.0,100.0,106.0,106.0,106.0
BKO_E2_D4_06_Manjanin_T,163.74,82.4,158.8,130.2,82.4,158.8,130.2,108.0,109.0,79.0,79.0,79.0,82.0,82.0,82.0
BKO_E1_D1_01_Suku_T,155.02,159.6,162.4,165.8,159.6,162.4,165.8,170.0,169.0,171.0,171.0,171.0,168.0,168.0,168.0
BKO_E3_D5_13_Suku_T,159.42,118.4,90.0,119.8,118.4,90.0,119.8,91.0,92.0,85.0,85.0,85.0,113.0,113.0,113.0
BKO_E1_D1_02_Maraka_T,136.3,146.4,120.0,161.8,146.4,120.0,161.8,179.0,159.0,179.0,179.0,179.0,159.0,159.0,159.0
BKO_E2_D3_05_Sandia_T,127.22,142.4,116.4,173.2,142.4,116.4,173.2,102.0,163.0,118.0,118.0,118.0,144.0,144.0,144.0
BKO_E2_D3_14_Maraka_T,166.7,167.0,137.4,108.6,167.0,137.4,108.6,105.0,119.0,162.0,162.0,162.0,166.0,166.0,166.0
BKO_E3_D6_03_Wasulunka_T,150.83,155.8,114.8,146.6,155.8,114.8,146.6,112.0,151.0,151.0,151.0,151.0,155.0,155.0,155.0
BKO_E3_D5_04_Dansa_T,136.41,106.8,104.8,156.2,106.8,104.8,156.2,102.0,108.0,100.0,100.0,100.0,104.0,104.0,104.0
BKO_E2_D4_04_Dansa_T,144.98,144.8,179.0,151.0,144.8,179.0,151.0,179.0,179.0,144.0,144.0,144.0,145.0,145.0,145.0
BKO_E3_D6_01_Maraka_T,148.5,158.2,133.6,170.0,158.2,133.6,170.0,179.0,162.0,179.0,179.0,179.0,162.0,162.0,162.0
BKO_E1_D2_06_Dansa_T,123.73,109.6,127.4,175.4,109.6,127.4,175.4,178.0,121.0,118.0,118.0,118.0,118.0,118.0,118.0
BKO_E2_D4_02_Maraka_T,182.09,153.83,148.83,131.33,153.83,148.83,131.33,179.0,166.0,179.0,179.0,179.0,157.5,157.5,157.5
BKO_E2_D4_12_Suku_T,193.89,92.0,146.0,151.5,92.0,146.0,151.5,77.0,136.5,77.0,77.0,77.0,79.0,79.0,79.0
BKO_E2_D3_02_Suku_T,210.49,136.8,139.2,137.6,136.8,139.2,137.6,161.0,159.0,110.0,110.0,110.0,131.0,131.0,131.0
BKO_E1_D2_05_Wasulunka_T,130.2,122.4,119.8,119.4,122.4,119.8,119.4,119.0,119.0,86.0,86.0,86.0,119.0,119.0,119.0
BKO_E1_D1_04_Dansa_T,113.16,135.0,141.8,135.6,135.0,141.8,135.6,167.0,119.0,111.0,111.0,111.0,117.0,117.0,117.0
BKO_E1_D2_03_Suku_T,145.62,137.0,160.4,146.8,137.0,160.4,146.8,156.0,156.0,86.0,86.0,86.0,168.0,168.0,168.0
BKO_E2_D3_06_Manjanin_T,178.67,129.6,133.2,171.6,129.6,133.2,171.6,176.0,165.0,88.0,88.0,88.0,118.0,118.0,118.0
BKO_E1_D1_06_Manjanin_T,149.36,146.4,151.8,135.8,146.4,151.8,135.8,114.0,164.0,106.0,106.0,106.0,164.0,164.0,164.0
BKO_E3_D6_04_Sandia_T,135.73,116.6,154.4,172.8,116.6,154.4,172.8,179.0,165.0,103.0,103.0,103.0,108.0,108.0,108.0
BKO_E2_D3_01_Maraka_T,165.22,152.83,153.0,161.17,152.83,153.0,161.17,164.0,164.0,99.0,99.0,99.0,163.0,163.0,163.0
BKO_E3_D6_06_Manjanin_T,213.16,93.4,96.8,134.6,93.4,96.8,134.6,80.0,105.0,80.0,80.0,80.0,80.0,80.0,80.0
BKO_E3_D5_05_Sandia_T,133.46,125.4,134.6,148.6,125.4,134.6,148.6,179.0,123.0,92.0,92.0,92.0,122.0,122.0,122.0
BKO_E1_D1_03_Wasulunka_T,121.57,148.4,146.2,114.6,148.4,146.2,114.6,108.0,118.0,108.0,108.0,108.0,171.0,171.0,171.0
BKO_E1_D1_05_Sandia_T,119.93,124.2,170.4,117.0,124.2,170.4,117.0,95.0,124.0,95.0,95.0,95.0,107.0,107.0,107.0
BKO_E1_D2_07_Sandia_T,127.36,145.4,135.2,172.8,145.4,135.2,172.8,127.0,144.0,136.0,136.0,136.0,143.0,143.0,143.0
BKO_E2_D3_03_Wasulunka_T,171.0,139.2,111.2,175.4,139.2,111.2,175.4,88.0,171.0,88.0,88.0,88.0,171.0,171.0,171.0
BKO_E3_D5_06_Manjanin_T,146.97,101.0,118.2,157.8,101.0,118.2,157.8,94.0,114.0,94.0,94.0,94.0,97.0,97.0,97.0
BKO_E3_D6_10_Dansa_T,124.28,150.6,109.8,159.6,150.6,109.8,159.6,89.0,150.0,122.0,122.0,122.0,155.0,155.0,155.0
BKO_E3_D5_02_Suku_T,163.02,122.0,141.4,156.0,122.0,141.4,156.0,166.0,165.0,94.0,94.0,94.0,116.0,116.0,116.0
BKO_E3_D6_12_Suku_T,196.24,117.8,165.4,150.4,117.8,165.4,150.4,132.0,132.0,132.0,132.0,132.0,130.0,130.0,130.0
