piece,bpm,X_a,Y_a,Z_a,X_b,Y_b,Z_b,bpm_mode,bpm_median,mode_x,mode_y,mode_z,median_x,median_y,median_z
BKO_E3_D5_03_Wasulunka_T,158.87,173.6,170.4,141.2,173.6,170.4,141.2,172.0,172.0,168.0,168.0,168.0,176.0,176.0,176.0
BKO_E2_D4_05_Sandia_T,129.53,157.2,175.6,122.0,157.2,175.6,122.0,176.0,171.0,131.0,131.0,131.0,171.0,171.0,171.0
BKO_E2_D4_01_Suku_T,187.76,153.83,161.33,177.5,153.83,161.33,177.5,179.0,171.0,146.0,146.0,146.0,146.0,146.0,146.0
BKO_E2_D4_03_Wasulunka_T,131.02,149.6,160.8,134.8,149.6,160.8,134.8,144.0,165.0,71.0,71.0,71.0,167.0,167.0,167.0
BKO_E1_D2_04_Maraka_T,141.98,162.8,128.8,155.2,162.8,128.8,155.2,179.0,162.0,163.0,163.0,163.0,163.0,163.0,163.0
BKO_E3_D5_01_Maraka_T,166.88,87.4,154.8,172.0,87.4,154.8,172.0,176.0,165.0,84.0,84.0,84.0,86.0,86.0,86.0
BKO_E3_D6_02_Suku_T,194.03,169.6,154.6,142.0,169.6,154.6,142.0,169.0,168.0,169.0,169.0,169.0,169.0,169.0,169.0
BKO_E2_D4_06_Manjanin_T,163.74,89.6,151.2,172.4,89.6,151.2,172.4,83.0,154.0,83.0,83.0,83.0,83.0,83.0,83.0
BKO_E1_D1_01_Suku_T,155.02,157.6,148.6,164.4,157.6,148.6,164.4,170.0,170.0,137.0,137.0,137.0,170.0,170.0,170.0
BKO_E3_D5_13_Suku_T,159.42,158.6,130.8,111.8,158.6,130.8,111.8,179.0,131.0,179.0,179.0,179.0,175.0,175.0,175.0
BKO_E1_D1_02_Maraka_T,136.3,157.6,137.0,151.4,157.6,137.0,151.4,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0
BKO_E2_D3_05_Sandia_T,127.22,137.4,138.2,117.0,137.4,138.2,117.0,118.0,127.0,118.0,118.0,118.0,118.0,118.0,118.0
BKO_E2_D3_14_Maraka_T,166.7,162.0,160.0,108.0,162.0,160.0,108.0,175.0,146.0,143.0,143.0,143.0,170.0,170.0,170.0
BKO_E3_D6_03_Wasulunka_T,150.83,161.0,147.4,151.4,161.0,147.4,151.4,146.0,166.0,119.0,119.0,119.0,169.0,169.0,169.0
BKO_E3_D5_04_Dansa_T,136.41,119.4,136.4,105.0,119.4,136.4,105.0,123.0,122.0,99.0,99.0,99.0,122.0,122.0,122.0
BKO_E2_D4_04_Dansa_T,144.98,138.4,149.6,137.8,138.4,149.6,137.8,145.0,146.0,145.0,145.0,145.0,145.0,145.0,145.0
BKO_E3_D6_01_Maraka_T,148.5,102.2,147.6,157.8,102.2,147.6,157.8,160.0,148.0,75.0,75.0,75.0,98.0,98.0,98.0
BKO_E1_D2_06_Dansa_T,123.73,116.2,142.4,135.6,116.2,142.4,135.6,93.0,130.0,117.0,117.0,117.0,117.0,117.0,117.0
BKO_E2_D4_02_Maraka_T,182.09,171.0,139.0,177.67,171.0,139.0,177.67,179.0,168.5,179.0,179.0,179.0,171.5,171.5,171.5
BKO_E2_D4_12_Suku_T,193.89,116.5,106.67,97.0,116.5,106.67,97.0,99.0,99.0,154.0,154.0,154.0,99.5,99.5,99.5
BKO_E2_D3_02_Suku_T,210.49,105.0,105.2,119.8,105.0,105.2,119.8,107.0,105.0,107.0,107.0,107.0,105.0,105.0,105.0
BKO_E1_D2_05_Wasulunka_T,130.2,147.2,139.6,146.8,147.2,139.6,146.8,122.0,138.0,128.0,128.0,128.0,138.0,138.0,138.0
BKO_E1_D1_04_Dansa_T,113.16,119.2,170.4,113.6,119.2,170.4,113.6,111.0,118.0,111.0,111.0,111.0,112.0,112.0,112.0
BKO_E1_D2_03_Suku_T,145.62,172.8,105.8,158.2,172.8,105.8,158.2,160.0,160.0,179.0,179.0,179.0,172.0,172.0,172.0
BKO_E2_D3_06_Manjanin_T,178.67,107.0,161.8,159.2,107.0,161.8,159.2,169.0,160.0,79.0,79.0,79.0,97.0,97.0,97.0
BKO_E1_D1_06_Manjanin_T,149.36,148.6,148.6,148.2,148.6,148.6,148.2,148.0,148.0,146.0,146.0,146.0,148.0,148.0,148.0
