piece,bpm,X_a,Y_a,Z_a,X_b,Y_b,Z_b,bpm_mode,bpm_median,mode_x,mode_y,mode_z,median_x,median_y,median_z
BKO_E3_D5_03_Wasulunka_T,158.87,134.8,92.2,127.4,134.8,92.2,127.4,116.0,117.0,124.0,124.0,124.0,136.0,136.0,136.0
BKO_E2_D4_05_Sandia_T,129.53,121.8,138.4,120.8,121.8,138.4,120.8,130.0,130.0,111.0,111.0,111.0,121.0,121.0,121.0
BKO_E2_D4_01_Suku_T,187.76,131.5,134.83,104.5,131.5,134.83,104.5,144.0,123.5,144.0,144.0,144.0,132.5,132.5,132.5
BKO_E2_D4_03_Wasulunka_T,131.02,107.0,104.2,131.8,107.0,104.2,131.8,144.0,123.0,144.0,144.0,144.0,88.0,88.0,88.0
BKO_E1_D2_04_Maraka_T,141.98,135.2,80.0,124.8,135.2,80.0,124.8,138.0,125.0,138.0,138.0,138.0,138.0,138.0,138.0
BKO_E3_D5_01_Maraka_T,166.88,90.0,134.8,106.0,90.0,134.8,106.0,133.0,96.0,85.0,85.0,85.0,90.0,90.0,90.0
BKO_E3_D6_02_Suku_T,194.03,94.2,93.8,115.6,94.2,93.8,115.6,96.0,99.0,83.0,83.0,83.0,96.0,96.0,96.0
BKO_E2_D4_06_Manjanin_T,163.74,82.6,136.6,135.2,82.6,136.6,135.2,144.0,132.0,79.0,79.0,79.0,82.0,82.0,82.0
BKO_E1_D1_01_Suku_T,155.02,127.0,129.8,139.8,127.0,129.8,139.8,137.0,137.0,85.0,85.0,85.0,136.0,136.0,136.0
BKO_E3_D5_13_Suku_T,159.42,109.0,128.2,108.2,109.0,128.2,108.2,87.0,128.0,87.0,87.0,87.0,102.0,102.0,102.0
BKO_E1_D1_02_Maraka_T,136.3,133.4,125.6,135.4,133.4,125.6,135.4,140.0,138.0,140.0,140.0,140.0,138.0,138.0,138.0
BKO_E2_D3_05_Sandia_T,127.22,98.0,123.8,119.8,98.0,123.8,119.8,89.0,126.0,89.0,89.0,89.0,89.0,89.0,89.0
BKO_E2_D3_14_Maraka_T,166.7,117.2,140.0,88.2,117.2,140.0,88.2,141.0,117.0,105.0,105.0,105.0,117.0,117.0,117.0
BKO_E3_D6_03_Wasulunka_T,150.83,126.2,130.6,97.8,126.2,130.6,97.8,99.0,124.0,117.0,117.0,117.0,124.0,124.0,124.0
BKO_E3_D5_04_Dansa_T,136.41,113.2,134.8,107.2,113.2,134.8,107.2,108.0,112.0,130.0,130.0,130.0,109.0,109.0,109.0
BKO_E2_D4_04_Dansa_T,144.98,94.4,144.0,130.2,94.4,144.0,130.2,144.0,144.0,73.0,73.0,73.0,74.0,74.0,74.0
BKO_E3_D6_01_Maraka_T,148.5,142.4,98.6,142.4,142.4,98.6,142.4,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0
BKO_E1_D2_06_Dansa_T,123.73,91.8,132.4,122.0,91.8,132.4,122.0,89.0,123.0,89.0,89.0,89.0,92.0,92.0,92.0
BKO_E2_D4_02_Maraka_T,182.09,133.33,121.83,140.83,133.33,121.83,140.83,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0
BKO_E2_D4_12_Suku_T,193.89,93.5,125.0,97.17,93.5,125.0,97.17,98.0,98.5,81.0,81.0,81.0,97.5,97.5,97.5
BKO_E2_D3_02_Suku_T,210.49,105.2,113.4,105.6,105.2,113.4,105.6,107.0,106.0,104.0,104.0,104.0,104.0,104.0,104.0
BKO_E1_D2_05_Wasulunka_T,130.2,100.8,106.8,105.4,100.8,106.8,105.4,81.0,114.0,90.0,90.0,90.0,95.0,95.0,95.0
BKO_E1_D1_04_Dansa_T,113.16,113.0,114.0,112.0,113.0,114.0,112.0,111.0,111.0,110.0,110.0,110.0,114.0,114.0,114.0
BKO_E1_D2_03_Suku_T,145.62,139.2,139.8,112.4,139.2,139.8,112.4,141.0,138.0,140.0,140.0,140.0,140.0,140.0,140.0
BKO_E2_D3_06_Manjanin_T,178.67,114.6,95.4,105.8,114.6,95.4,105.8,97.0,101.0,97.0,97.0,97.0,110.0,110.0,110.0
BKO_E1_D1_06_Manjanin_T,149.36,144.0,143.8,142.8,144.0,143.8,142.8,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0
BKO_E3_D6_04_Sandia_T,135.73,126.8,127.8,121.6,126.8,127.8,121.6,144.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0
BKO_E2_D3_01_Maraka_T,165.22,118.0,130.83,111.33,118.0,130.83,111.33,144.0,121.0,103.0,103.0,103.0,114.0,114.0,114.0
BKO_E3_D6_06_Manjanin_T,213.16,102.2,106.2,103.8,102.2,106.2,103.8,106.0,105.0,106.0,106.0,106.0,106.0,106.0,106.0
BKO_E3_D5_05_Sandia_T,133.46,133.4,131.4,114.0,133.4,131.4,114.0,144.0,124.0,144.0,144.0,144.0,132.0,132.0,132.0
BKO_E1_D1_03_Wasulunka_T,121.57,112.6,141.2,107.2,112.6,141.2,107.2,114.0,115.0,108.0,108.0,108.0,114.0,114.0,114.0
BKO_E1_D1_05_Sandia_T,119.93,123.2,125.6,121.2,123.2,125.6,121.2,119.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0
BKO_E1_D2_07_Sandia_T,127.36,119.4,141.6,102.4,119.4,141.6,102.4,144.0,136.0,144.0,144.0,144.0,138.0,138.0,138.0
BKO_E2_D3_03_Wasulunka_T,171.0,88.4,110.8,94.4,88.4,110.8,94.4,88.0,92.0,86.0,86.0,86.0,88.0,88.0,88.0
BKO_E3_D5_06_Manjanin_T,146.97,135.0,119.0,118.6,135.0,119.0,118.6,138.0,131.0,138.0,138.0,138.0,138.0,138.0,138.0
BKO_E3_D6_10_Dansa_T,124.28,130.4,134.8,106.2,130.4,134.8,106.2,86.0,129.0,124.0,124.0,124.0,129.0,129.0,129.0
BKO_E3_D5_02_Suku_T,163.02,130.0,123.6,116.2,130.0,123.6,116.2,93.0,126.0,103.0,103.0,103.0,139.0,139.0,139.0
BKO_E3_D6_12_Suku_T,196.24,113.0,110.8,105.2,113.0,110.8,105.2,108.0,108.0,108.0,108.0,108.0,110.0,110.0,110.0
