piece,bpm,X_a,Y_a,Z_a,X_b,Y_b,Z_b,bpm_mode,bpm_median,mode_x,mode_y,mode_z,median_x,median_y,median_z
BKO_E3_D5_03_Wasulunka_T,114.2,122.6,90.0,154.6,122.6,90.0,154.6,79.0,125.0,155.0,155.0,155.0,150.0,150.0,150.0
BKO_E2_D4_05_Sandia_T,91.98,95.4,77.0,90.4,95.4,77.0,90.4,67.0,84.0,103.0,103.0,103.0,102.0,102.0,102.0
BKO_E2_D4_01_Suku_T,128.84,84.0,83.2,96.8,84.0,83.2,96.8,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
BKO_E2_D4_03_Wasulunka_T,108.26,103.8,143.0,166.8,103.8,143.0,166.8,110.0,158.0,106.0,106.0,106.0,106.0,106.0,106.0
BKO_E1_D2_04_Maraka_T,101.71,104.8,101.2,81.2,104.8,101.2,81.2,88.0,92.0,88.0,88.0,88.0,88.0,88.0,88.0
BKO_E3_D5_01_Maraka_T,113.68,83.0,82.6,81.6,83.0,82.6,81.6,82.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0
BKO_E3_D6_02_Suku_T,136.13,116.4,106.2,173.6,116.4,106.2,173.6,98.0,115.0,98.0,98.0,98.0,103.0,103.0,103.0
BKO_E2_D4_06_Manjanin_T,129.54,107.6,87.6,131.2,107.6,87.6,131.2,73.0,103.0,103.0,103.0,103.0,108.0,108.0,108.0
BKO_E1_D1_01_Suku_T,124.51,93.0,98.8,60.0,93.0,98.8,0.0,60.0,91.0,95.0,95.0,95.0,95.0,95.0,95.0
BKO_E3_D5_13_Suku_T,120.05,132.2,101.0,103.8,132.2,101.0,103.8,71.0,115.0,115.0,115.0,115.0,123.0,123.0,123.0
BKO_E1_D1_02_Maraka_T,102.87,107.4,109.6,97.8,107.4,109.6,97.8,77.0,103.0,101.0,101.0,101.0,101.0,101.0,101.0
BKO_E2_D3_05_Sandia_T,94.28,104.2,120.8,60.0,104.2,120.8,0.0,60.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0
BKO_E2_D3_14_Maraka_T,111.02,101.0,101.4,111.2,101.0,101.4,111.2,113.0,110.0,65.0,65.0,65.0,75.0,75.0,75.0
BKO_E3_D6_03_Wasulunka_T,110.77,134.4,115.0,113.2,134.4,115.0,89.2,60.0,118.0,93.0,93.0,93.0,136.0,136.0,136.0
BKO_E2_D4_04_Dansa_T,97.34,73.0,73.4,60.0,73.0,73.4,0.0,60.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
BKO_E3_D6_01_Maraka_T,115.33,84.8,110.0,116.0,84.8,110.0,116.0,115.0,115.0,78.0,78.0,78.0,78.0,78.0,78.0
BKO_E2_D4_02_Maraka_T,111.05,95.4,71.8,111.0,95.4,71.8,111.0,72.0,109.0,72.0,72.0,72.0,109.0,109.0,109.0
BKO_E2_D4_12_Suku_T,123.38,79.6,79.0,123.4,79.6,79.0,123.4,79.0,80.0,79.0,79.0,79.0,79.0,79.0,79.0
BKO_E2_D3_02_Suku_T,124.38,80.4,80.4,118.0,80.4,80.4,118.0,80.0,81.0,80.0,80.0,80.0,80.0,80.0,80.0
BKO_E1_D2_05_Wasulunka_T,129.41,95.0,94.4,60.0,95.0,94.4,0.0,60.0,93.0,93.0,93.0,93.0,95.0,95.0,95.0
BKO_E1_D1_04_Dansa_T,105.12,60.0,104.8,114.6,0.0,104.8,114.6,60.0,101.0,60.0,60.0,60.0,60.0,60.0,60.0
BKO_E1_D2_03_Suku_T,120.78,122.0,126.8,174.0,122.0,126.8,174.0,116.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0
BKO_E2_D3_06_Manjanin_T,120.08,91.4,91.6,89.8,91.4,91.6,89.8,91.0,91.0,89.0,89.0,89.0,91.0,91.0,91.0
BKO_E1_D1_06_Manjanin_T,137.2,85.6,151.2,65.4,73.6,151.2,53.4,67.0,82.0,60.0,60.0,60.0,82.0,82.0,82.0
BKO_E3_D6_04_Sandia_T,106.26,140.0,103.2,122.2,128.0,103.2,110.2,160.0,137.0,160.0,160.0,160.0,160.0,160.0,160.0
BKO_E2_D3_01_Maraka_T,116.47,89.6,135.8,116.4,89.6,135.8,116.4,75.0,116.0,75.0,75.0,75.0,75.0,75.0,75.0
BKO_E3_D6_06_Manjanin_T,156.66,107.0,146.8,60.0,107.0,146.8,0.0,60.0,99.0,78.0,78.0,78.0,102.0,102.0,102.0
BKO_E3_D5_05_Sandia_T,102.12,97.6,150.6,114.6,97.6,150.6,114.6,79.0,101.0,94.0,94.0,94.0,99.0,99.0,99.0
BKO_E1_D1_03_Wasulunka_T,99.58,107.0,104.4,111.2,107.0,104.4,111.2,99.0,102.0,114.0,114.0,114.0,110.0,110.0,110.0
BKO_E1_D1_05_Sandia_T,98.42,119.0,106.6,60.0,119.0,106.6,0.0,60.0,88.0,104.0,104.0,104.0,104.0,104.0,104.0
BKO_E1_D2_07_Sandia_T,114.21,135.8,139.4,60.0,135.8,139.4,0.0,60.0,112.0,170.0,170.0,170.0,114.0,114.0,114.0
BKO_E2_D3_03_Wasulunka_T,107.01,90.0,101.0,81.0,90.0,101.0,81.0,60.0,75.0,72.0,72.0,72.0,75.0,75.0,75.0
BKO_E3_D5_06_Manjanin_T,114.75,112.4,109.2,94.4,112.4,109.2,82.4,113.0,113.0,102.0,102.0,102.0,118.0,118.0,118.0
BKO_E3_D6_10_Dansa_T,105.15,135.2,69.6,60.0,135.2,57.6,0.0,60.0,61.0,127.0,127.0,127.0,127.0,127.0,127.0
BKO_E3_D5_02_Suku_T,127.11,130.4,165.0,110.2,130.4,165.0,110.2,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0
BKO_E3_D6_12_Suku_T,141.7,127.8,85.2,97.8,127.8,85.2,97.8,89.0,90.0,93.0,93.0,93.0,95.0,95.0,95.0
