piece,bpm,X_a,Y_a,Z_a,X_b,Y_b,Z_b,bpm_mode,bpm_median,mode_x,mode_y,mode_z,median_x,median_y,median_z
BKO_E3_D5_03_Wasulunka_T,114.2,113.8,118.4,110.2,113.8,118.4,110.2,154.0,113.0,92.0,92.0,92.0,112.0,112.0,112.0
BKO_E2_D4_05_Sandia_T,91.98,102.4,107.2,91.6,102.4,107.2,91.6,93.0,93.0,68.0,68.0,68.0,113.0,113.0,113.0
BKO_E2_D4_01_Suku_T,128.84,88.2,62.4,97.0,88.2,62.4,97.0,62.0,63.0,62.0,62.0,62.0,62.0,62.0,62.0
BKO_E2_D4_03_Wasulunka_T,108.26,119.4,112.4,109.2,119.4,112.4,109.2,106.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0
BKO_E1_D2_04_Maraka_T,101.71,109.8,86.6,91.4,109.8,86.6,91.4,74.0,88.0,75.0,75.0,75.0,89.0,89.0,89.0
BKO_E3_D5_01_Maraka_T,113.68,151.6,121.8,113.0,151.6,121.8,113.0,111.0,116.0,93.0,93.0,93.0,165.0,165.0,165.0
BKO_E3_D6_02_Suku_T,136.13,102.8,70.0,67.8,102.8,70.0,67.8,67.0,69.0,67.0,67.0,67.0,81.0,81.0,81.0
BKO_E2_D4_06_Manjanin_T,129.54,115.4,98.2,80.6,115.4,98.2,80.6,66.0,82.0,66.0,66.0,66.0,107.0,107.0,107.0
BKO_E1_D1_01_Suku_T,124.51,94.4,81.8,106.0,94.4,81.8,106.0,60.0,96.0,89.0,89.0,89.0,97.0,97.0,97.0
BKO_E3_D5_13_Suku_T,120.05,106.0,104.0,89.4,106.0,104.0,89.4,94.0,93.0,64.0,64.0,64.0,99.0,99.0,99.0
BKO_E1_D1_02_Maraka_T,102.87,93.6,88.0,102.6,93.6,88.0,102.6,99.0,99.0,79.0,79.0,79.0,99.0,99.0,99.0
BKO_E2_D3_05_Sandia_T,94.28,100.6,125.4,94.4,100.6,125.4,94.4,94.0,116.0,71.0,71.0,71.0,119.0,119.0,119.0
BKO_E2_D3_14_Maraka_T,111.02,82.8,76.8,83.6,82.8,76.8,83.6,80.0,82.0,60.0,60.0,60.0,80.0,80.0,80.0
BKO_E3_D6_03_Wasulunka_T,110.77,107.6,96.6,93.0,107.6,96.6,69.0,115.0,83.0,70.0,70.0,70.0,72.0,72.0,72.0
BKO_E2_D4_04_Dansa_T,97.34,142.6,104.0,126.6,142.6,104.0,126.6,100.0,100.0,172.0,172.0,172.0,170.0,170.0,170.0
BKO_E3_D6_01_Maraka_T,115.33,106.4,93.8,115.0,106.4,93.8,115.0,114.0,114.0,62.0,62.0,62.0,114.0,114.0,114.0
BKO_E2_D4_02_Maraka_T,111.05,123.8,91.6,111.2,123.8,91.6,111.2,111.0,111.0,131.0,131.0,131.0,131.0,131.0,131.0
BKO_E2_D4_12_Suku_T,123.38,91.8,66.6,92.4,91.8,66.6,92.4,60.0,91.0,60.0,60.0,60.0,91.0,91.0,91.0
BKO_E2_D3_02_Suku_T,124.38,102.4,102.0,104.6,102.4,102.0,104.6,90.0,93.0,90.0,90.0,90.0,90.0,90.0,90.0
BKO_E1_D2_05_Wasulunka_T,129.41,90.4,123.2,128.8,90.4,123.2,128.8,130.0,127.0,92.0,92.0,92.0,92.0,92.0,92.0
BKO_E1_D1_04_Dansa_T,105.12,100.8,110.2,104.6,100.8,110.2,104.6,90.0,104.0,99.0,99.0,99.0,100.0,100.0,100.0
BKO_E1_D2_03_Suku_T,120.78,76.6,144.4,121.0,76.6,144.4,121.0,72.0,116.0,72.0,72.0,72.0,73.0,73.0,73.0
BKO_E2_D3_06_Manjanin_T,120.08,103.2,102.6,90.0,103.2,102.6,90.0,90.0,91.0,90.0,90.0,90.0,92.0,92.0,92.0
BKO_E1_D1_06_Manjanin_T,137.2,84.0,72.2,119.8,84.0,72.2,119.8,72.0,73.0,72.0,72.0,72.0,72.0,72.0,72.0
BKO_E3_D6_04_Sandia_T,106.26,120.8,89.4,91.4,120.8,89.4,91.4,88.0,88.0,81.0,81.0,81.0,101.0,101.0,101.0
BKO_E2_D3_01_Maraka_T,116.47,85.6,81.2,128.4,85.6,81.2,128.4,84.0,85.0,83.0,83.0,83.0,85.0,85.0,85.0
BKO_E3_D6_06_Manjanin_T,156.66,109.4,88.8,175.4,109.4,88.8,175.4,78.0,114.0,78.0,78.0,78.0,78.0,78.0,78.0
BKO_E3_D5_05_Sandia_T,102.12,90.6,105.0,102.4,90.6,105.0,102.4,99.0,99.0,63.0,63.0,63.0,68.0,68.0,68.0
BKO_E1_D1_03_Wasulunka_T,99.58,124.2,95.6,100.0,124.2,95.6,100.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
BKO_E1_D1_05_Sandia_T,98.42,97.2,86.0,102.4,97.2,86.0,102.4,89.0,89.0,66.0,66.0,66.0,89.0,89.0,89.0
BKO_E1_D2_07_Sandia_T,114.21,99.8,95.0,98.0,99.8,95.0,98.0,68.0,89.0,68.0,68.0,68.0,90.0,90.0,90.0
BKO_E2_D3_03_Wasulunka_T,107.01,117.0,88.0,106.8,117.0,88.0,106.8,75.0,106.0,75.0,75.0,75.0,77.0,77.0,77.0
BKO_E3_D5_06_Manjanin_T,114.75,124.4,113.8,114.2,124.4,113.8,114.2,117.0,115.0,117.0,117.0,117.0,117.0,117.0,117.0
BKO_E3_D6_10_Dansa_T,105.15,107.2,107.8,94.0,107.2,107.8,94.0,110.0,106.0,110.0,110.0,110.0,110.0,110.0,110.0
BKO_E3_D5_02_Suku_T,127.11,89.4,61.2,88.2,89.4,61.2,88.2,61.0,64.0,61.0,61.0,61.0,69.0,69.0,69.0
BKO_E3_D6_12_Suku_T,141.7,89.4,96.2,88.0,89.4,96.2,88.0,93.0,93.0,84.0,84.0,84.0,91.0,91.0,91.0
