piece,bpm,X_a,Y_a,Z_a,X_b,Y_b,Z_b,bpm_mode,bpm_median,mode_x,mode_y,mode_z,median_x,median_y,median_z
BKO_E3_D5_03_Wasulunka_T,114.2,135.0,115.2,124.4,135.0,115.2,124.4,120.0,125.0,137.0,137.0,137.0,137.0,137.0,137.0
BKO_E2_D4_05_Sandia_T,91.98,141.0,130.4,103.6,141.0,130.4,103.6,142.0,135.0,142.0,142.0,142.0,142.0,142.0,142.0
BKO_E2_D4_01_Suku_T,128.84,130.6,121.4,80.6,130.6,121.4,80.6,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0
BKO_E2_D4_03_Wasulunka_T,108.26,129.4,125.0,108.8,129.4,125.0,108.8,137.0,114.0,131.0,131.0,131.0,131.0,131.0,131.0
BKO_E1_D2_04_Maraka_T,101.71,109.6,96.2,101.8,109.6,96.2,101.8,100.0,101.0,100.0,100.0,100.0,105.0,105.0,105.0
BKO_E3_D5_01_Maraka_T,113.68,104.0,118.4,112.6,104.0,118.4,112.6,111.0,111.0,85.0,85.0,85.0,96.0,96.0,96.0
BKO_E3_D6_02_Suku_T,136.13,135.8,134.4,98.0,135.8,134.4,98.0,136.0,133.0,132.0,132.0,132.0,135.0,135.0,135.0
BKO_E2_D4_06_Manjanin_T,129.54,120.8,115.2,125.6,120.8,115.2,125.6,131.0,125.0,132.0,132.0,132.0,122.0,122.0,122.0
BKO_E1_D1_01_Suku_T,124.51,117.0,93.6,99.2,117.0,93.6,99.2,96.0,96.0,96.0,96.0,96.0,119.0,119.0,119.0
BKO_E3_D5_13_Suku_T,120.05,113.2,118.0,119.2,113.2,118.0,119.2,120.0,119.0,112.0,112.0,112.0,112.0,112.0,112.0
BKO_E1_D1_02_Maraka_T,102.87,123.6,107.2,103.0,123.6,107.2,103.0,99.0,105.0,99.0,99.0,99.0,129.0,129.0,129.0
BKO_E2_D3_05_Sandia_T,94.28,127.0,105.2,106.6,127.0,105.2,106.6,105.0,106.0,117.0,117.0,117.0,123.0,123.0,123.0
BKO_E2_D3_14_Maraka_T,111.02,96.4,133.4,135.2,96.4,133.4,135.2,137.0,126.0,72.0,72.0,72.0,112.0,112.0,112.0
BKO_E3_D6_03_Wasulunka_T,110.77,135.2,117.4,109.4,135.2,117.4,109.4,110.0,111.0,140.0,140.0,140.0,140.0,140.0,140.0
BKO_E2_D4_04_Dansa_T,97.34,125.2,124.2,121.8,125.2,124.2,121.8,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0
BKO_E3_D6_01_Maraka_T,115.33,117.2,116.4,116.0,117.2,116.4,116.0,115.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0
BKO_E2_D4_02_Maraka_T,111.05,133.4,119.2,103.0,133.4,119.2,103.0,139.0,112.0,138.0,138.0,138.0,138.0,138.0,138.0
BKO_E2_D4_12_Suku_T,123.38,115.2,96.4,86.2,115.2,96.4,86.2,80.0,80.0,80.0,80.0,80.0,122.0,122.0,122.0
BKO_E2_D3_02_Suku_T,124.38,119.4,127.0,114.8,119.4,127.0,114.8,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0
BKO_E1_D2_05_Wasulunka_T,129.41,99.8,99.2,100.0,99.8,99.2,100.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
BKO_E1_D1_04_Dansa_T,105.12,99.2,113.6,104.6,99.2,113.6,104.6,105.0,105.0,102.0,102.0,102.0,102.0,102.0,102.0
BKO_E1_D2_03_Suku_T,120.78,98.6,129.6,120.0,98.6,129.6,120.0,113.0,117.0,113.0,113.0,113.0,91.0,91.0,91.0
BKO_E2_D3_06_Manjanin_T,120.08,115.4,115.4,119.4,115.4,115.4,119.4,121.0,121.0,122.0,122.0,122.0,122.0,122.0,122.0
BKO_E1_D1_06_Manjanin_T,137.2,117.0,93.0,111.6,117.0,93.0,111.6,136.0,107.0,136.0,136.0,136.0,136.0,136.0,136.0
BKO_E3_D6_04_Sandia_T,106.26,123.4,117.4,106.4,123.4,117.4,106.4,112.0,112.0,101.0,101.0,101.0,133.0,133.0,133.0
BKO_E2_D3_01_Maraka_T,116.47,122.2,114.4,122.4,122.2,114.4,122.4,116.0,118.0,126.0,126.0,126.0,125.0,125.0,125.0
BKO_E3_D6_06_Manjanin_T,156.66,107.0,134.2,111.4,107.0,134.2,111.4,138.0,114.0,138.0,138.0,138.0,99.0,99.0,99.0
BKO_E3_D5_05_Sandia_T,102.12,117.0,98.6,107.6,117.0,98.6,107.6,104.0,105.0,114.0,114.0,114.0,114.0,114.0,114.0
BKO_E1_D1_03_Wasulunka_T,99.58,119.2,105.8,105.6,119.2,105.8,105.6,111.0,111.0,111.0,111.0,111.0,123.0,123.0,123.0
BKO_E1_D1_05_Sandia_T,98.42,133.4,107.4,106.8,133.4,107.4,106.8,102.0,114.0,133.0,133.0,133.0,133.0,133.0,133.0
BKO_E1_D2_07_Sandia_T,114.21,117.6,117.0,113.8,117.6,117.0,113.8,115.0,115.0,113.0,113.0,113.0,115.0,115.0,115.0
BKO_E2_D3_03_Wasulunka_T,107.01,107.2,137.0,116.8,107.2,137.0,116.8,107.0,126.0,105.0,105.0,105.0,105.0,105.0,105.0
BKO_E3_D5_06_Manjanin_T,114.75,117.8,108.0,118.8,117.8,108.0,118.8,103.0,113.0,131.0,131.0,131.0,113.0,113.0,113.0
BKO_E3_D6_10_Dansa_T,105.15,120.4,88.0,116.0,120.4,88.0,116.0,107.0,107.0,126.0,126.0,126.0,126.0,126.0,126.0
BKO_E3_D5_02_Suku_T,127.11,127.6,126.8,127.6,127.6,126.8,127.6,130.0,129.0,130.0,130.0,130.0,129.0,129.0,129.0
BKO_E3_D6_12_Suku_T,141.7,92.6,121.4,141.6,92.6,121.4,141.6,144.0,138.0,90.0,90.0,90.0,90.0,90.0,90.0
