piece,bpm,X_a,Y_a,Z_a,X_b,Y_b,Z_b,bpm_mode,bpm_median,mode_x,mode_y,mode_z,median_x,median_y,median_z
BKO_E3_D5_03_Wasulunka_T,114.2,130.8,129.4,114.4,130.8,129.4,114.4,111.0,117.0,136.0,136.0,136.0,136.0,136.0,136.0
BKO_E2_D4_05_Sandia_T,91.98,140.2,139.4,105.2,140.2,139.4,105.2,116.0,138.0,144.0,144.0,144.0,144.0,144.0,144.0
BKO_E2_D4_01_Suku_T,128.84,131.6,134.0,96.6,131.6,134.0,96.6,135.0,129.0,128.0,128.0,128.0,130.0,130.0,130.0
BKO_E2_D4_03_Wasulunka_T,108.26,114.8,119.2,107.0,114.8,119.2,107.0,109.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0
BKO_E1_D2_04_Maraka_T,101.71,126.2,140.6,109.0,126.2,140.6,109.0,141.0,129.0,125.0,125.0,125.0,125.0,125.0,125.0
BKO_E3_D5_01_Maraka_T,113.68,126.0,135.6,129.4,126.0,135.6,129.4,142.0,136.0,142.0,142.0,142.0,142.0,142.0,142.0
BKO_E3_D6_02_Suku_T,136.13,138.2,125.6,118.8,138.2,125.6,118.8,132.0,132.0,135.0,135.0,135.0,137.0,137.0,137.0
BKO_E2_D4_06_Manjanin_T,129.54,139.6,141.2,130.4,139.6,141.2,130.4,143.0,141.0,136.0,136.0,136.0,138.0,138.0,138.0
BKO_E1_D1_01_Suku_T,124.51,105.4,135.6,111.4,105.4,135.6,111.4,89.0,124.0,94.0,94.0,94.0,94.0,94.0,94.0
BKO_E3_D5_13_Suku_T,120.05,133.4,132.6,89.2,133.4,132.6,89.2,88.0,129.0,126.0,126.0,126.0,136.0,136.0,136.0
BKO_E1_D1_02_Maraka_T,102.87,112.2,139.2,123.4,112.2,139.2,123.4,126.0,128.0,82.0,82.0,82.0,122.0,122.0,122.0
BKO_E2_D3_05_Sandia_T,94.28,121.6,139.6,103.8,121.6,139.6,103.8,94.0,119.0,116.0,116.0,116.0,116.0,116.0,116.0
BKO_E2_D3_14_Maraka_T,111.02,137.4,134.2,83.6,137.4,134.2,83.6,83.0,138.0,126.0,126.0,126.0,140.0,140.0,140.0
BKO_E3_D6_03_Wasulunka_T,110.77,129.0,79.2,105.8,129.0,79.2,105.8,96.0,98.0,134.0,134.0,134.0,134.0,134.0,134.0
BKO_E2_D4_04_Dansa_T,97.34,135.0,138.0,97.4,135.0,138.0,97.4,98.0,123.0,143.0,143.0,143.0,143.0,143.0,143.0
BKO_E3_D6_01_Maraka_T,115.33,125.0,130.4,115.0,125.0,130.4,115.0,117.0,117.0,114.0,114.0,114.0,116.0,116.0,116.0
BKO_E2_D4_02_Maraka_T,111.05,122.8,126.4,139.4,122.8,126.4,139.4,112.0,133.0,112.0,112.0,112.0,112.0,112.0,112.0
BKO_E2_D4_12_Suku_T,123.38,123.4,126.2,92.8,123.4,126.2,92.8,93.0,123.0,121.0,121.0,121.0,123.0,123.0,123.0
BKO_E2_D3_02_Suku_T,124.38,118.8,126.2,102.4,118.8,126.2,102.4,77.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0
