piece,bpm,X_a,Y_a,Z_a,X_b,Y_b,Z_b,bpm_mode,bpm_median,mode_x,mode_y,mode_z,median_x,median_y,median_z
BKO_E1_D1_08_Suku_T,162.96,156.0,110.0,160.8,156.0,110.0,160.8,97.0,158.0,179.0,179.0,179.0,174.0,174.0,174.0
BKO_E3_D5_03_Wasulunka_T,245.03,112.0,92.2,165.8,112.0,92.2,165.8,179.0,127.0,179.0,179.0,179.0,70.0,70.0,70.0
BKO_E2_D4_05_Sandia_T,111.86,146.6,130.0,150.2,146.6,130.0,150.2,101.0,169.0,101.0,101.0,101.0,176.0,176.0,176.0
BKO_E2_D4_01_Suku_T,164.27,169.83,159.83,170.5,169.83,159.83,170.5,179.0,169.0,179.0,179.0,179.0,172.0,172.0,172.0
BKO_E2_D4_03_Wasulunka_T,187.46,109.0,112.4,135.8,109.0,112.4,135.8,100.0,120.0,93.0,93.0,93.0,97.0,97.0,97.0
BKO_E1_D2_04_Maraka_T,171.64,171.2,160.6,168.6,171.2,160.6,168.6,169.0,169.0,167.0,167.0,167.0,167.0,167.0,167.0
BKO_E3_D5_01_Maraka_T,218.67,167.0,166.8,166.2,167.0,166.8,166.2,165.0,166.0,163.0,163.0,163.0,167.0,167.0,167.0
BKO_E3_D6_02_Suku_T,224.47,150.8,150.4,142.6,150.8,150.4,142.6,113.0,163.0,107.0,107.0,107.0,170.0,170.0,170.0
BKO_E2_D4_06_Manjanin_T,187.78,139.4,166.2,176.2,139.4,166.2,176.2,179.0,167.0,102.0,102.0,102.0,162.0,162.0,162.0
BKO_E1_D1_01_Suku_T,196.67,98.8,126.8,150.8,98.8,126.8,150.8,98.0,118.0,100.0,100.0,100.0,99.0,99.0,99.0
BKO_E3_D5_13_Suku_T,206.98,138.4,162.2,130.6,138.4,162.2,130.6,173.0,146.0,112.0,112.0,112.0,130.0,130.0,130.0
BKO_E1_D5_05_Sandia_T,152.44,168.8,127.0,144.8,168.8,127.0,144.8,174.0,155.0,174.0,174.0,174.0,174.0,174.0,174.0
BKO_E1_D1_02_Maraka_T,167.66,168.8,144.4,166.2,168.8,144.4,166.2,165.0,165.0,163.0,163.0,163.0,166.0,166.0,166.0
BKO_E2_D3_05_Sandia_T,112.81,145.8,138.6,127.4,145.8,138.6,127.4,117.0,117.0,103.0,103.0,103.0,165.0,165.0,165.0
BKO_E2_D3_14_Maraka_T,137.06,151.8,116.6,137.2,151.8,116.6,137.2,109.0,123.0,117.0,117.0,117.0,164.0,164.0,164.0
BKO_E3_D6_03_Wasulunka_T,235.32,135.4,157.6,153.2,135.4,157.6,153.2,126.0,159.0,111.0,111.0,111.0,124.0,124.0,124.0
BKO_E1_D5_01_Maraka_T,158.72,164.2,154.8,141.0,164.2,154.8,141.0,163.0,162.0,163.0,163.0,163.0,163.0,163.0,163.0
BKO_E3_D5_04_Dansa_T,170.65,175.6,152.6,159.2,175.6,152.6,159.2,168.0,173.0,177.0,177.0,177.0,176.0,176.0,176.0
BKO_E2_D4_04_Dansa_T,125.36,134.6,133.4,150.0,134.6,133.4,150.0,108.0,127.0,108.0,108.0,108.0,109.0,109.0,109.0
BKO_E3_D6_01_Maraka_T,190.96,157.2,137.6,138.6,157.2,137.6,138.6,101.0,157.0,143.0,143.0,143.0,160.0,160.0,160.0
BKO_E1_D2_06_Dansa_T,140.57,96.2,147.8,176.4,96.2,147.8,176.4,179.0,159.0,88.0,88.0,88.0,97.0,97.0,97.0
BKO_E2_D4_02_Maraka_T,146.25,156.2,157.6,147.2,156.2,157.6,147.2,139.0,153.0,120.0,120.0,120.0,173.0,173.0,173.0
BKO_E2_D4_12_Suku_T,157.16,176.6,105.8,142.0,176.6,105.8,142.0,179.0,153.0,176.0,176.0,176.0,176.0,176.0,176.0
BKO_E1_D1_07_Suku_T,148.65,145.0,136.2,161.4,145.0,136.2,161.4,105.0,158.0,111.0,111.0,111.0,158.0,158.0,158.0
BKO_E1_D5_02_Dansa_T,161.91,132.0,117.8,162.0,132.0,117.8,162.0,157.0,157.0,107.0,107.0,107.0,107.0,107.0,107.0
BKO_E2_D3_02_Suku_T,180.15,126.0,120.0,155.6,126.0,120.0,155.6,103.0,114.0,110.0,110.0,110.0,114.0,114.0,114.0
BKO_E1_D2_05_Wasulunka_T,167.54,172.2,168.0,170.8,172.2,168.0,170.8,176.0,173.0,172.0,172.0,172.0,172.0,172.0,172.0
BKO_E1_D1_04_Dansa_T,115.19,157.83,169.83,113.17,157.83,169.83,113.17,179.0,161.5,95.0,95.0,95.0,170.5,170.5,170.5
BKO_E1_D2_03_Suku_T,164.16,152.4,132.6,164.6,152.4,132.6,164.6,138.0,159.0,138.0,138.0,138.0,157.0,157.0,157.0
BKO_E2_D3_06_Manjanin_T,217.96,125.8,143.4,134.8,125.8,143.4,134.8,114.0,141.0,95.0,95.0,95.0,141.0,141.0,141.0
BKO_E1_D1_06_Manjanin_T,189.06,127.8,160.2,104.8,127.8,160.2,104.8,94.0,139.0,142.0,142.0,142.0,142.0,142.0,142.0
BKO_E2_D3_13_Suku_T,185.46,142.0,129.6,130.0,142.0,129.6,130.0,118.0,120.0,162.0,162.0,162.0,162.0,162.0,162.0
BKO_E2_D3_11_Suku_T,195.16,160.0,106.0,152.0,160.0,106.0,152.0,83.0,131.0,159.0,159.0,159.0,159.0,159.0,159.0
