piece,bpm,X_a,Y_a,Z_a,bpm_mode,bpm_median
BKO_E3_D5_03_Wasulunka_T,114.2,121.6,123.4,114.6,117.0,117.0
BKO_E2_D4_05_Sandia_T,91.98,93.6,96.2,97.0,71.0,72.0
BKO_E2_D4_01_Suku_T,128.84,129.4,129.2,129.0,129.0,129.0
BKO_E2_D4_03_Wasulunka_T,108.26,108.0,126.6,107.2,106.0,109.0
BKO_E1_D2_04_Maraka_T,101.71,111.8,97.6,96.6,75.0,102.0
BKO_E3_D5_01_Maraka_T,113.68,112.2,113.0,103.6,111.0,111.0
BKO_E3_D6_02_Suku_T,136.13,136.0,135.8,105.8,99.0,133.0
BKO_E2_D4_06_Manjanin_T,129.54,128.4,129.4,113.0,115.0,127.0
BKO_E1_D1_01_Suku_T,124.51,124.4,124.0,112.2,123.0,123.0
BKO_E3_D5_13_Suku_T,120.05,120.4,119.8,107.8,119.0,119.0
BKO_E1_D1_02_Maraka_T,102.87,103.0,103.0,103.0,105.0,103.0
BKO_E2_D3_05_Sandia_T,94.28,72.2,72.0,70.6,71.0,71.0
BKO_E2_D3_14_Maraka_T,111.02,111.2,111.0,111.2,109.0,111.0
BKO_E3_D6_03_Wasulunka_T,110.77,116.8,113.6,70.0,70.0,110.0
BKO_E2_D4_04_Dansa_T,97.34,125.6,134.2,73.0,144.0,100.0
BKO_E3_D6_01_Maraka_T,115.33,116.0,115.6,113.4,116.0,116.0
BKO_E2_D4_02_Maraka_T,111.05,111.0,111.4,111.0,111.0,111.0
BKO_E2_D4_12_Suku_T,123.38,123.4,123.4,123.2,124.0,123.0
BKO_E2_D3_02_Suku_T,124.38,124.4,124.6,124.4,124.0,124.0
BKO_E1_D2_05_Wasulunka_T,129.41,119.4,130.4,131.2,129.0,130.0
BKO_E1_D1_04_Dansa_T,105.12,104.2,104.6,105.4,105.0,105.0
BKO_E1_D2_03_Suku_T,120.78,121.8,120.8,96.8,117.0,117.0
BKO_E2_D3_06_Manjanin_T,120.08,119.8,121.4,108.0,118.0,119.0
BKO_E1_D1_06_Manjanin_T,137.2,132.4,128.2,120.0,135.0,133.0
BKO_E3_D6_04_Sandia_T,106.26,106.8,104.2,101.0,112.0,111.0
BKO_E2_D3_01_Maraka_T,116.47,116.4,116.4,116.2,115.0,116.0
BKO_E3_D6_06_Manjanin_T,156.66,138.2,133.4,80.6,139.0,131.0
BKO_E3_D5_05_Sandia_T,102.12,115.4,109.2,77.2,79.0,102.0
BKO_E1_D1_03_Wasulunka_T,99.58,104.8,93.2,70.0,70.0,95.0
BKO_E1_D1_05_Sandia_T,98.42,113.2,107.8,98.4,103.0,103.0
BKO_E1_D2_07_Sandia_T,114.21,114.2,116.0,109.0,115.0,115.0
BKO_E2_D3_03_Wasulunka_T,107.01,125.8,113.4,70.0,70.0,106.0
BKO_E3_D5_06_Manjanin_T,114.75,115.0,107.0,105.8,113.0,113.0
BKO_E3_D6_10_Dansa_T,105.15,135.2,114.8,70.0,70.0,107.0
BKO_E3_D5_02_Suku_T,127.11,127.2,127.2,96.0,130.0,124.0
BKO_E3_D6_12_Suku_T,141.7,134.8,141.6,121.0,144.0,140.0
