,experiment,axis,acc1,acc2,acc3,hits_idx,hits_dbl_idx,hits_hf_idx
0,zero_uni,X,75.0,75.0,75.0,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 28, 30, 32, 34, 35]",[],[]
1,zero_uni,Y,77.77777777777779,77.77777777777779,77.77777777777779,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 27, 28, 30, 31, 32, 34, 35]",[],[]
2,zero_uni,Z,47.22222222222222,50.0,50.0,"[0, 1, 2, 3, 4, 10, 12, 15, 16, 17, 18, 19, 20, 24, 25, 29, 30]",[],[26]
3,zero_uni,mode,66.66666666666666,66.66666666666666,66.66666666666666,"[0, 2, 3, 5, 8, 9, 10, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 29, 30, 32, 34, 35]",[],[]
4,zero_uni,median,91.66666666666666,91.66666666666666,91.66666666666666,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 32, 33, 34, 35]",[],[]
5,zero_bi,X,69.44444444444444,69.44444444444444,69.44444444444444,"[2, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 28, 29, 30, 32, 34, 35]",[],[]
6,zero_bi,Y,69.44444444444444,69.44444444444444,69.44444444444444,"[2, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 28, 30, 32, 34, 35]",[],[]
7,zero_bi,Z,58.333333333333336,61.111111111111114,61.111111111111114,"[0, 2, 3, 5, 6, 7, 8, 9, 10, 16, 17, 18, 19, 21, 22, 25, 29, 31, 33, 34, 35]",[],[26]
8,zero_bi,mode,77.77777777777779,80.55555555555556,80.55555555555556,"[2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 28, 29, 30, 31, 32, 34, 35]",[],[26]
9,zero_bi,median,77.77777777777779,77.77777777777779,77.77777777777779,"[2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 28, 29, 30, 31, 32, 34, 35]",[],[]
