piece,bpm,X_a,Y_a,Z_a,bpm_mode,bpm_median
BKO_E3_D5_03_Wasulunka_T,114.2,133.4,138.8,133.0,131.0,133.0
BKO_E2_D4_05_Sandia_T,91.98,85.6,71.0,97.8,70.0,72.0
BKO_E2_D4_01_Suku_T,128.84,128.8,131.0,96.8,97.0,129.0
BKO_E2_D4_03_Wasulunka_T,108.26,121.4,113.8,115.4,109.0,110.0
BKO_E1_D2_04_Maraka_T,101.71,93.0,101.4,101.6,100.0,100.0
BKO_E3_D5_01_Maraka_T,113.68,113.0,118.8,112.2,110.0,112.0
BKO_E3_D6_02_Suku_T,136.13,123.2,115.0,111.0,91.0,128.0
BKO_E2_D4_06_Manjanin_T,129.54,112.6,126.0,116.4,111.0,115.0
BKO_E1_D1_01_Suku_T,124.51,124.0,122.8,70.0,70.0,121.0
BKO_E3_D5_13_Suku_T,120.05,117.6,119.2,83.0,124.0,118.0
BKO_E1_D1_02_Maraka_T,102.87,103.6,99.8,109.2,103.0,103.0
BKO_E2_D3_05_Sandia_T,94.28,72.2,81.2,70.0,70.0,72.0
BKO_E2_D3_14_Maraka_T,111.02,117.8,117.8,111.2,113.0,113.0
BKO_E3_D6_03_Wasulunka_T,110.77,129.6,114.0,75.2,70.0,108.0
BKO_E2_D4_04_Dansa_T,97.34,111.6,116.2,82.2,97.0,97.0
BKO_E3_D6_01_Maraka_T,115.33,117.4,115.2,116.0,117.0,117.0
BKO_E2_D4_02_Maraka_T,111.05,110.8,110.0,111.0,111.0,111.0
BKO_E2_D4_12_Suku_T,123.38,117.0,96.8,123.2,80.0,123.0
BKO_E2_D3_02_Suku_T,124.38,124.4,119.0,124.4,124.0,124.0
BKO_E1_D2_05_Wasulunka_T,129.41,128.0,131.0,70.0,70.0,128.0
BKO_E1_D1_04_Dansa_T,105.12,92.8,104.2,105.2,106.0,104.0
BKO_E1_D2_03_Suku_T,120.78,116.2,116.2,120.6,116.0,117.0
BKO_E2_D3_06_Manjanin_T,120.08,122.0,91.8,90.2,91.0,92.0
BKO_E1_D1_06_Manjanin_T,137.2,70.0,122.0,120.6,70.0,108.0
BKO_E3_D6_04_Sandia_T,106.26,110.8,108.8,117.6,112.0,112.0
BKO_E2_D3_01_Maraka_T,116.47,120.2,117.0,116.2,113.0,118.0
BKO_E3_D6_06_Manjanin_T,156.66,82.0,98.2,70.0,70.0,80.0
BKO_E3_D5_05_Sandia_T,102.12,101.0,102.8,97.4,100.0,102.0
BKO_E1_D1_03_Wasulunka_T,99.58,120.8,116.8,105.6,99.0,111.0
BKO_E1_D1_05_Sandia_T,98.42,115.2,102.6,70.0,70.0,98.0
BKO_E1_D2_07_Sandia_T,114.21,109.4,117.0,70.0,70.0,112.0
BKO_E2_D3_03_Wasulunka_T,107.01,114.4,107.8,128.4,105.0,109.0
BKO_E3_D5_06_Manjanin_T,114.75,110.4,116.4,95.6,112.0,112.0
BKO_E3_D6_10_Dansa_T,105.15,131.0,70.0,70.0,70.0,70.0
BKO_E3_D5_02_Suku_T,127.11,127.4,119.8,95.8,126.0,125.0
BKO_E3_D6_12_Suku_T,141.7,110.4,143.6,97.8,144.0,142.0
