,experiment,axis,acc1,acc2,acc3,hits_idx,hits_dbl_idx,hits_hf_idx
0,zero_uni,X,55.55555555555556,55.55555555555556,55.55555555555556,"[0, 2, 3, 5, 6, 8, 9, 10, 12, 13, 15, 16, 18, 21, 22, 24, 25, 30, 31, 32]",[],[]
1,zero_uni,Y,50.0,50.0,50.0,"[0, 3, 8, 9, 10, 15, 16, 18, 20, 22, 24, 25, 27, 30, 31, 32, 33, 34]",[],[]
2,zero_uni,Z,52.77777777777778,55.55555555555556,55.55555555555556,"[0, 2, 3, 4, 5, 8, 10, 13, 16, 20, 21, 24, 25, 27, 29, 31, 32, 33, 34]",[],[35]
3,zero_uni,mode,58.333333333333336,61.111111111111114,61.111111111111114,"[0, 2, 3, 4, 6, 8, 10, 15, 16, 17, 20, 22, 23, 25, 27, 28, 29, 31, 32, 33, 34]",[],[19]
4,zero_uni,median,69.44444444444444,69.44444444444444,69.44444444444444,"[0, 2, 3, 4, 6, 8, 9, 10, 11, 13, 15, 16, 17, 20, 21, 22, 23, 24, 25, 27, 29, 31, 32, 33, 34]",[],[]
5,zero_bi,X,61.111111111111114,61.111111111111114,61.111111111111114,"[0, 1, 2, 3, 6, 8, 9, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 30, 31, 32]",[],[]
6,zero_bi,Y,55.55555555555556,55.55555555555556,55.55555555555556,"[0, 2, 3, 8, 9, 10, 11, 12, 15, 16, 17, 18, 20, 22, 23, 25, 28, 30, 31, 32]",[],[]
7,zero_bi,Z,41.66666666666667,41.66666666666667,41.66666666666667,"[0, 5, 6, 7, 8, 13, 18, 19, 21, 23, 25, 32, 33, 34, 35]",[],[]
8,zero_bi,mode,66.66666666666666,66.66666666666666,66.66666666666666,"[0, 1, 3, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 25, 29, 31, 32, 33, 35]",[],[]
9,zero_bi,median,61.111111111111114,61.111111111111114,61.111111111111114,"[0, 1, 2, 3, 6, 8, 9, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 31, 32]",[],[]
