piece,bpm,X_a,Y_a,Z_a,bpm_mode,bpm_median
BKO_E3_D5_03_Wasulunka_T,114.2,167.6,170.6,171.2,175.0,172.0
BKO_E2_D4_05_Sandia_T,91.98,174.4,160.2,131.6,177.0,163.0
BKO_E2_D4_01_Suku_T,128.84,136.0,149.2,148.6,129.0,137.0
BKO_E2_D4_03_Wasulunka_T,108.26,159.2,164.4,163.2,157.0,162.0
BKO_E1_D2_04_Maraka_T,101.71,167.6,164.8,143.2,168.0,168.0
BKO_E3_D5_01_Maraka_T,113.68,159.0,169.4,114.2,168.0,165.0
BKO_E3_D6_02_Suku_T,136.13,161.8,155.4,169.4,179.0,167.0
BKO_E2_D4_06_Manjanin_T,129.54,122.2,114.4,135.8,112.0,125.0
BKO_E1_D1_01_Suku_T,124.51,158.8,143.6,154.4,179.0,154.0
BKO_E3_D5_13_Suku_T,120.05,171.4,135.8,119.6,120.0,122.0
BKO_E1_D1_02_Maraka_T,102.87,144.8,158.2,103.2,101.0,147.0
BKO_E2_D3_05_Sandia_T,94.28,153.8,144.8,125.4,117.0,141.0
BKO_E2_D3_14_Maraka_T,111.02,160.2,158.8,173.2,162.0,163.0
BKO_E3_D6_03_Wasulunka_T,110.77,149.6,168.8,175.6,166.0,167.0
BKO_E2_D4_04_Dansa_T,97.34,155.4,146.0,151.0,146.0,147.0
BKO_E3_D6_01_Maraka_T,115.33,155.0,128.4,166.2,116.0,160.0
BKO_E2_D4_02_Maraka_T,111.05,155.0,150.4,156.4,139.0,154.0
BKO_E2_D4_12_Suku_T,123.38,155.0,150.0,170.0,156.0,157.0
BKO_E2_D3_02_Suku_T,124.38,124.6,130.6,133.8,124.0,124.0
BKO_E1_D2_05_Wasulunka_T,129.41,141.2,164.2,167.6,179.0,171.0
BKO_E1_D1_04_Dansa_T,105.12,146.4,155.8,128.2,105.0,156.0
BKO_E1_D2_03_Suku_T,120.78,127.2,154.0,167.8,117.0,159.0
BKO_E2_D3_06_Manjanin_T,120.08,150.2,115.0,119.6,152.0,121.0
BKO_E1_D1_06_Manjanin_T,137.2,144.0,168.8,146.0,136.0,166.0
BKO_E3_D6_04_Sandia_T,106.26,170.6,164.4,139.4,164.0,164.0
BKO_E2_D3_01_Maraka_T,116.47,156.8,135.4,168.0,175.0,153.0
BKO_E3_D6_06_Manjanin_T,156.66,159.0,176.4,157.4,176.0,163.0
BKO_E3_D5_05_Sandia_T,102.12,160.4,164.2,171.0,169.0,169.0
BKO_E1_D1_03_Wasulunka_T,99.58,159.2,158.8,173.8,171.0,171.0
BKO_E1_D1_05_Sandia_T,98.42,143.2,165.2,145.2,149.0,150.0
BKO_E1_D2_07_Sandia_T,114.21,168.8,170.6,127.0,167.0,168.0
BKO_E2_D3_03_Wasulunka_T,107.01,148.6,155.4,127.4,107.0,151.0
BKO_E3_D5_06_Manjanin_T,114.75,152.6,170.6,127.2,113.0,157.0
BKO_E3_D6_10_Dansa_T,105.15,160.6,168.4,172.2,155.0,169.0
BKO_E3_D5_02_Suku_T,127.11,165.2,159.6,149.2,170.0,170.0
BKO_E3_D6_12_Suku_T,141.7,163.0,156.8,161.8,169.0,163.0
