piece,bpm,tempoA,tempoB
BKO_E3_D5_03_Wasulunka_T,114.2,19.35,19.35
BKO_E2_D4_05_Sandia_T,91.98,22.09,22.09
BKO_E2_D4_01_Suku_T,128.84,21.7,21.7
BKO_E2_D4_03_Wasulunka_T,108.26,40.78,40.78
BKO_E1_D2_04_Maraka_T,101.71,28.38,28.38
BKO_E3_D5_01_Maraka_T,113.68,19.51,19.51
BKO_E3_D6_02_Suku_T,136.13,30.02,30.02
BKO_E2_D4_06_Manjanin_T,129.54,56.86,56.86
BKO_E1_D1_01_Suku_T,124.51,12.04,12.04
BKO_E3_D5_13_Suku_T,120.05,16.11,16.11
BKO_E1_D1_02_Maraka_T,102.87,19.04,19.04
BKO_E2_D3_05_Sandia_T,94.28,18.06,18.06
BKO_E2_D3_14_Maraka_T,111.02,16.13,16.13
BKO_E3_D6_03_Wasulunka_T,110.77,35.67,35.67
BKO_E2_D4_04_Dansa_T,97.34,19.3,19.3
BKO_E3_D6_01_Maraka_T,115.33,34.95,34.95
BKO_E2_D4_02_Maraka_T,111.05,28.72,28.72
BKO_E2_D4_12_Suku_T,123.38,27.96,27.96
BKO_E2_D3_02_Suku_T,124.38,22.11,22.11
BKO_E1_D2_05_Wasulunka_T,129.41,4.29,4.29
BKO_E1_D1_04_Dansa_T,105.12,10.1,10.1
BKO_E1_D2_03_Suku_T,120.78,19.53,19.53
BKO_E2_D3_06_Manjanin_T,120.08,23.88,23.88
BKO_E1_D1_06_Manjanin_T,137.2,3.94,3.94
BKO_E3_D6_04_Sandia_T,106.26,17.93,17.93
BKO_E2_D3_01_Maraka_T,116.47,22.21,22.21
BKO_E3_D6_06_Manjanin_T,156.66,16.72,16.72
BKO_E3_D5_05_Sandia_T,102.12,20.53,20.53
BKO_E1_D1_03_Wasulunka_T,99.58,24.56,24.56
BKO_E1_D1_05_Sandia_T,98.42,8.45,8.45
BKO_E1_D2_07_Sandia_T,114.21,5.25,5.25
BKO_E2_D3_03_Wasulunka_T,107.01,15.72,15.72
BKO_E3_D5_06_Manjanin_T,114.75,18.63,18.63
BKO_E3_D6_10_Dansa_T,105.15,8.16,8.16
BKO_E3_D5_02_Suku_T,127.11,32.19,32.19
BKO_E3_D6_12_Suku_T,141.7,15.58,15.58
