piece,bpm,tempoA,tempoB
BKO_E3_D5_03_Wasulunka_T,114.2,71.29,142.59
BKO_E2_D4_05_Sandia_T,91.98,34.48,68.96
BKO_E2_D4_01_Suku_T,128.84,64.28,128.56
BKO_E2_D4_03_Wasulunka_T,108.26,30.01,60.03
BKO_E1_D2_04_Maraka_T,101.71,40.42,80.84
BKO_E3_D5_01_Maraka_T,113.68,57.53,115.06
BKO_E3_D6_02_Suku_T,136.13,38.08,76.16
BKO_E2_D4_06_Manjanin_T,129.54,60.13,120.25
BKO_E1_D1_01_Suku_T,124.51,44.49,88.99
BKO_E3_D5_13_Suku_T,120.05,57.94,115.89
BKO_E1_D1_02_Maraka_T,102.87,43.58,87.15
BKO_E2_D3_05_Sandia_T,94.28,35.27,70.54
BKO_E2_D3_14_Maraka_T,111.02,55.38,110.75
BKO_E3_D6_03_Wasulunka_T,110.77,49.94,99.89
BKO_E2_D4_04_Dansa_T,97.34,39.16,82.63
BKO_E3_D6_01_Maraka_T,115.33,43.83,87.65
BKO_E2_D4_02_Maraka_T,111.05,54.12,108.25
BKO_E2_D4_12_Suku_T,123.38,59.34,123.71
BKO_E2_D3_02_Suku_T,124.38,62.2,124.39
BKO_E1_D2_05_Wasulunka_T,129.41,57.21,114.43
BKO_E1_D1_04_Dansa_T,105.12,57.32,114.64
BKO_E1_D2_03_Suku_T,120.78,59.48,118.97
BKO_E2_D3_06_Manjanin_T,120.08,38.23,76.46
BKO_E1_D1_06_Manjanin_T,137.2,37.04,74.09
BKO_E3_D6_04_Sandia_T,106.26,47.89,95.79
BKO_E2_D3_01_Maraka_T,116.47,57.96,115.93
BKO_E3_D6_06_Manjanin_T,156.66,39.25,78.5
BKO_E3_D5_05_Sandia_T,102.12,36.45,72.89
BKO_E1_D1_03_Wasulunka_T,99.58,55.11,110.23
BKO_E1_D1_05_Sandia_T,98.42,40.33,80.65
BKO_E1_D2_07_Sandia_T,114.21,57.08,114.17
BKO_E2_D3_03_Wasulunka_T,107.01,40.77,81.55
BKO_E3_D5_06_Manjanin_T,114.75,60.66,121.33
BKO_E3_D6_10_Dansa_T,105.15,64.65,129.31
BKO_E3_D5_02_Suku_T,127.11,61.78,123.55
BKO_E3_D6_12_Suku_T,141.7,46.33,92.65
