piece,bpm,tempoA,tempoB,tempoC
BKO_E3_D5_03_Wasulunka_T,114.2,58.87,117.73,110.01
BKO_E2_D4_05_Sandia_T,91.98,56.43,112.86,112.86
BKO_E2_D4_01_Suku_T,128.84,63.08,126.17,106.94
BKO_E2_D4_03_Wasulunka_T,108.26,31.38,65.86,62.77
BKO_E1_D2_04_Maraka_T,101.71,51.86,105.24,105.24
BKO_E3_D5_01_Maraka_T,113.68,71.09,142.17,142.17
BKO_E3_D6_02_Suku_T,136.13,55.95,113.94,112.13
BKO_E2_D4_06_Manjanin_T,129.54,65.51,131.03,126.55
BKO_E1_D1_01_Suku_T,124.51,58.12,117.35,112.45
BKO_E3_D5_13_Suku_T,120.05,64.48,128.97,131.61
BKO_E1_D1_02_Maraka_T,102.87,48.46,96.91,94.81
BKO_E2_D3_05_Sandia_T,94.28,55.4,110.79,106.06
BKO_E2_D3_14_Maraka_T,111.02,60.55,121.11,118.79
BKO_E3_D6_03_Wasulunka_T,110.77,68.99,137.97,121.16
BKO_E2_D4_04_Dansa_T,97.34,43.47,96.27,87.35
BKO_E3_D6_01_Maraka_T,115.33,66.82,133.65,123.29
BKO_E2_D4_02_Maraka_T,111.05,57.29,114.59,114.59
BKO_E2_D4_12_Suku_T,123.38,59.22,123.89,123.89
BKO_E2_D3_02_Suku_T,124.38,62.82,125.64,117.22
BKO_E1_D2_05_Wasulunka_T,129.41,60.07,121.29,118.27
BKO_E1_D1_04_Dansa_T,105.12,58.99,117.98,113.59
BKO_E1_D2_03_Suku_T,120.78,59.52,119.03,117.67
BKO_E2_D3_06_Manjanin_T,120.08,53.34,106.68,106.45
BKO_E1_D1_06_Manjanin_T,137.2,62.45,124.9,124.9
BKO_E3_D6_04_Sandia_T,106.26,65.46,131.58,120.06
BKO_E2_D3_01_Maraka_T,116.47,63.19,126.38,120.76
BKO_E3_D6_06_Manjanin_T,156.66,54.62,109.24,97.96
BKO_E3_D5_05_Sandia_T,102.12,57.72,115.44,95.37
BKO_E1_D1_03_Wasulunka_T,99.58,52.58,105.17,103.09
BKO_E1_D1_05_Sandia_T,98.42,63.65,129.07,119.73
BKO_E1_D2_07_Sandia_T,114.21,60.9,122.78,120.34
BKO_E2_D3_03_Wasulunka_T,107.01,57.99,115.99,100.55
BKO_E3_D5_06_Manjanin_T,114.75,63.0,126.01,121.36
BKO_E3_D6_10_Dansa_T,105.15,63.57,127.13,121.55
BKO_E3_D5_02_Suku_T,127.11,64.07,128.13,126.5
BKO_E3_D6_12_Suku_T,141.7,49.13,98.25,90.77
