piece,bpm,X_a,Y_a,Z_a,bpm_mode,bpm_median,mode_x,mode_y,mode_z,median_x,median_y,median_z
BKO_E3_D5_03_Wasulunka_T,114.2,83.4,76.4,106.2,74.0,90.0,74.0,74.0,74.0,85.0,85.0,85.0
BKO_E2_D4_05_Sandia_T,91.98,79.6,78.2,115.4,70.0,91.0,70.0,70.0,70.0,71.0,71.0,71.0
BKO_E2_D4_01_Suku_T,128.84,81.8,100.6,96.6,97.0,97.0,72.0,72.0,72.0,72.0,72.0,72.0
BKO_E2_D4_03_Wasulunka_T,108.26,106.6,106.0,131.6,106.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
BKO_E1_D2_04_Maraka_T,101.71,92.4,88.6,81.4,75.0,77.0,101.0,101.0,101.0,101.0,101.0,101.0
BKO_E3_D5_01_Maraka_T,113.68,84.2,88.8,100.6,87.0,87.0,82.0,82.0,82.0,83.0,83.0,83.0
BKO_E3_D6_02_Suku_T,136.13,102.6,102.6,126.2,99.0,108.0,70.0,70.0,70.0,100.0,100.0,100.0
BKO_E2_D4_06_Manjanin_T,129.54,81.0,92.6,99.8,81.0,88.0,81.0,81.0,81.0,81.0,81.0,81.0
BKO_E1_D1_01_Suku_T,124.51,95.6,104.0,125.0,127.0,117.0,73.0,73.0,73.0,91.0,91.0,91.0
BKO_E3_D5_13_Suku_T,120.05,85.6,97.6,133.8,70.0,108.0,70.0,70.0,70.0,89.0,89.0,89.0
BKO_E1_D1_02_Maraka_T,102.87,96.8,102.8,94.6,103.0,101.0,103.0,103.0,103.0,100.0,100.0,100.0
BKO_E2_D3_05_Sandia_T,94.28,79.6,80.2,141.6,70.0,94.0,71.0,71.0,71.0,71.0,71.0,71.0
BKO_E2_D3_14_Maraka_T,111.02,84.2,83.8,139.4,83.0,85.0,83.0,83.0,83.0,84.0,84.0,84.0
BKO_E3_D6_03_Wasulunka_T,110.77,94.4,97.0,80.4,95.0,95.0,105.0,105.0,105.0,96.0,96.0,96.0
BKO_E2_D4_04_Dansa_T,97.34,87.0,77.4,73.0,73.0,73.0,73.0,73.0,73.0,93.0,93.0,93.0
BKO_E3_D6_01_Maraka_T,115.33,114.8,98.0,137.0,117.0,117.0,113.0,113.0,113.0,115.0,115.0,115.0
BKO_E2_D4_02_Maraka_T,111.05,111.6,94.2,126.6,111.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0
BKO_E2_D4_12_Suku_T,123.38,99.6,92.6,104.6,92.0,93.0,92.0,92.0,92.0,93.0,93.0,93.0
BKO_E2_D3_02_Suku_T,124.38,104.0,94.4,127.2,94.0,97.0,94.0,94.0,94.0,94.0,94.0,94.0
BKO_E1_D2_05_Wasulunka_T,129.41,85.0,78.6,110.8,70.0,83.0,70.0,70.0,70.0,83.0,83.0,83.0
BKO_E1_D1_04_Dansa_T,105.12,108.2,99.6,110.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0
BKO_E1_D2_03_Suku_T,120.78,120.4,119.0,120.0,116.0,117.0,116.0,116.0,116.0,117.0,117.0,117.0
BKO_E2_D3_06_Manjanin_T,120.08,121.2,119.4,89.6,89.0,119.0,119.0,119.0,119.0,122.0,122.0,122.0
BKO_E1_D1_06_Manjanin_T,137.2,91.8,125.8,116.2,141.0,103.0,95.0,95.0,95.0,95.0,95.0,95.0
BKO_E3_D6_04_Sandia_T,106.26,75.8,79.2,125.6,70.0,83.0,70.0,70.0,70.0,73.0,73.0,73.0
BKO_E2_D3_01_Maraka_T,116.47,91.2,87.4,115.8,87.0,89.0,87.0,87.0,87.0,87.0,87.0,87.0
BKO_E3_D6_06_Manjanin_T,156.66,83.6,98.4,98.2,76.0,89.0,76.0,76.0,76.0,76.0,76.0,76.0
BKO_E3_D5_05_Sandia_T,102.12,122.8,95.4,113.2,98.0,117.0,124.0,124.0,124.0,123.0,123.0,123.0
BKO_E1_D1_03_Wasulunka_T,99.58,95.4,90.0,116.2,83.0,86.0,84.0,84.0,84.0,86.0,86.0,86.0
BKO_E1_D1_05_Sandia_T,98.42,88.4,102.8,119.2,102.0,102.0,70.0,70.0,70.0,96.0,96.0,96.0
BKO_E1_D2_07_Sandia_T,114.21,96.6,88.8,83.4,84.0,85.0,84.0,84.0,84.0,85.0,85.0,85.0
BKO_E2_D3_03_Wasulunka_T,107.01,107.0,100.4,116.2,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
BKO_E3_D5_06_Manjanin_T,114.75,115.4,114.4,125.2,113.0,117.0,113.0,113.0,113.0,113.0,113.0,113.0
BKO_E3_D6_10_Dansa_T,105.15,87.8,78.4,79.2,78.0,79.0,80.0,80.0,80.0,80.0,80.0,80.0
BKO_E3_D5_02_Suku_T,127.11,96.2,90.8,133.8,94.0,97.0,98.0,98.0,98.0,96.0,96.0,96.0
BKO_E3_D6_12_Suku_T,141.7,96.4,100.8,129.4,128.0,102.0,93.0,93.0,93.0,93.0,93.0,93.0
