piece,bpm,X_a,Y_a,Z_a,bpm_mode,bpm_median,mode_x,mode_y,mode_z,median_x,median_y,median_z
BKO_E3_D5_03_Wasulunka_T,114.2,128.8,127.2,109.8,111.0,117.0,140.0,140.0,140.0,138.0,138.0,138.0
BKO_E2_D4_05_Sandia_T,91.98,121.4,119.4,135.0,140.0,140.0,93.0,93.0,93.0,139.0,139.0,139.0
BKO_E2_D4_01_Suku_T,128.84,117.4,117.0,122.6,129.0,129.0,102.0,102.0,102.0,104.0,104.0,104.0
BKO_E2_D4_03_Wasulunka_T,108.26,118.2,106.6,130.2,107.0,114.0,107.0,107.0,107.0,114.0,114.0,114.0
BKO_E1_D2_04_Maraka_T,101.71,110.8,118.6,101.4,102.0,112.0,76.0,76.0,76.0,110.0,110.0,110.0
BKO_E3_D5_01_Maraka_T,113.68,105.6,104.0,128.4,83.0,111.0,83.0,83.0,83.0,102.0,102.0,102.0
BKO_E3_D6_02_Suku_T,136.13,133.2,127.4,129.4,125.0,132.0,135.0,135.0,135.0,135.0,135.0,135.0
BKO_E2_D4_06_Manjanin_T,129.54,98.4,96.0,111.6,88.0,94.0,85.0,85.0,85.0,101.0,101.0,101.0
BKO_E1_D1_01_Suku_T,124.51,116.8,112.8,124.8,127.0,121.0,118.0,118.0,118.0,118.0,118.0,118.0
BKO_E3_D5_13_Suku_T,120.05,119.6,129.0,138.2,131.0,131.0,107.0,107.0,107.0,124.0,124.0,124.0
BKO_E1_D1_02_Maraka_T,102.87,114.4,106.4,103.2,100.0,106.0,100.0,100.0,100.0,107.0,107.0,107.0
BKO_E2_D3_05_Sandia_T,94.28,139.0,112.6,141.4,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0
BKO_E2_D3_14_Maraka_T,111.02,130.4,134.2,139.4,138.0,138.0,107.0,107.0,107.0,138.0,138.0,138.0
BKO_E3_D6_03_Wasulunka_T,110.77,114.0,112.8,108.4,106.0,111.0,93.0,93.0,93.0,112.0,112.0,112.0
BKO_E2_D4_04_Dansa_T,97.34,104.2,101.4,97.6,98.0,98.0,93.0,93.0,93.0,97.0,97.0,97.0
BKO_E3_D6_01_Maraka_T,115.33,114.8,120.4,141.0,117.0,118.0,113.0,113.0,113.0,115.0,115.0,115.0
BKO_E2_D4_02_Maraka_T,111.05,110.8,122.2,123.4,111.0,111.0,110.0,110.0,110.0,111.0,111.0,111.0
BKO_E2_D4_12_Suku_T,123.38,113.6,107.4,110.6,92.0,122.0,92.0,92.0,92.0,125.0,125.0,125.0
BKO_E2_D3_02_Suku_T,124.38,129.0,120.6,120.4,119.0,125.0,119.0,119.0,119.0,134.0,134.0,134.0
BKO_E1_D2_05_Wasulunka_T,129.41,135.4,103.4,134.8,144.0,136.0,137.0,137.0,137.0,137.0,137.0,137.0
BKO_E1_D1_04_Dansa_T,105.12,116.8,122.2,117.4,108.0,108.0,85.0,85.0,85.0,108.0,108.0,108.0
BKO_E1_D2_03_Suku_T,120.78,127.6,125.4,120.0,116.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0
BKO_E2_D3_06_Manjanin_T,120.08,123.0,108.4,122.2,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0
BKO_E1_D1_06_Manjanin_T,137.2,128.0,137.6,127.0,104.0,138.0,104.0,104.0,104.0,135.0,135.0,135.0
BKO_E3_D6_04_Sandia_T,106.26,120.2,88.2,116.2,97.0,111.0,130.0,130.0,130.0,130.0,130.0,130.0
BKO_E2_D3_01_Maraka_T,116.47,119.0,104.0,127.8,118.0,118.0,115.0,115.0,115.0,117.0,117.0,117.0
BKO_E3_D6_06_Manjanin_T,156.66,112.2,135.4,131.4,144.0,135.0,106.0,106.0,106.0,106.0,106.0,106.0
BKO_E3_D5_05_Sandia_T,102.12,124.2,127.2,113.4,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0
BKO_E1_D1_03_Wasulunka_T,99.58,104.6,94.0,125.4,85.0,100.0,91.0,91.0,91.0,100.0,100.0,100.0
BKO_E1_D1_05_Sandia_T,98.42,109.6,107.4,119.0,96.0,104.0,96.0,96.0,96.0,98.0,98.0,98.0
BKO_E1_D2_07_Sandia_T,114.21,113.6,108.8,142.6,107.0,114.0,107.0,107.0,107.0,110.0,110.0,110.0
BKO_E2_D3_03_Wasulunka_T,107.01,99.6,109.4,132.0,106.0,107.0,90.0,90.0,90.0,105.0,105.0,105.0
BKO_E3_D5_06_Manjanin_T,114.75,116.0,117.0,119.6,113.0,117.0,113.0,113.0,113.0,113.0,113.0,113.0
BKO_E3_D6_10_Dansa_T,105.15,86.0,113.6,91.2,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
BKO_E3_D5_02_Suku_T,127.11,128.0,133.0,137.2,130.0,137.0,106.0,106.0,106.0,135.0,135.0,135.0
BKO_E3_D6_12_Suku_T,141.7,108.6,115.2,133.0,114.0,118.0,123.0,123.0,123.0,103.0,103.0,103.0
